Pathway STID,Gene IDs
R-HSA-114608,"1,10184,10257,10447,10487,10490,1072,10916,1191,12,135228,139322,1521,1675,1893,1950,197,2,213,2153,2157,2162,2243,2244,226,2266,2277,22915,22927,23052,2316,2335,259215,2621,27154,29106,29789,308,3082,3273,3309,334,335,3479,3481,350,351,3671,3674,3690,3699,3700,374354,3827,3920,3959,5004,5005,5054,5099,51097,51368,5154,5155,51571,51706,5175,5196,5216,5265,5267,5340,5341,5345,54495,54676,5473,5478,54863,5552,55664,5627,5660,5768,5874,5919,6403,6414,66005,6647,6678,6694,6813,7018,7040,7042,7043,7044,7057,7076,7078,7094,710,7114,7123,7273,7277,7414,7422,7423,7424,7450,7873,78991,801,805,808,81,813,83706,8407,87,88,928,94121,948,967,9749,9948"
R-HSA-6798695,"1,100049587,100302736,10043,10075,10092,10097,101,10120,10159,102,10213,102725035,10288,10312,10321,10326,10383,10394,10396,10450,10487,10493,10533,10549,10555,10562,10576,10577,10694,1075,10788,107987462,1084,10855,10857,10875,1088,10890,10970,11001,11010,11026,11031,1116,1118,11240,11314,11322,11333,1143,114790,116844,12,121260,124583,126014,1265,127829,1315,1378,138050,140885,1432,1460,1471,1476,150372,1508,1509,1511,1512,1520,1522,1535,1536,154664,158747,160364,1604,161,1650,1654,1667,1669,1675,170482,1727,1729,175,1774,1778,178,1794,1823,1828,1832,1915,1938,196527,197,1991,1992,199675,201294,203068,2040,210,2171,2204,2207,221,2212,2215,2219,222487,226,2268,22875,22918,22931,230,23071,23114,23191,23197,23200,23218,23250,23317,23352,23385,23406,23412,2352,23526,2357,2358,23593,23601,240,2444,2495,2512,2517,2519,2547,2548,25797,25798,25801,258010,25840,25852,2588,26,26578,2665,2683,2717,27180,272,2720,2760,2799,2821,28956,2896,28988,290,29099,29108,2919,2934,2950,2990,2992,29952,30,302,3043,3071,3074,3101,3106,3107,3146,3163,317,3240,326624,327,3303,3304,3310,3312,3320,3326,338339,340061,3417,3482,353,353189,353376,3577,3579,3608,3614,3615,3683,3684,3685,3687,3689,3728,374395,374403,383,3837,3848,387,387263,387921,388697,388698,3903,391,3916,3920,3934,3958,401258,4033,4048,4057,4069,410,411,4125,4126,4257,427,4282,4311,4317,4318,4332,4353,441864,4680,47,4718,4758,4790,4831,4860,4893,4973,5004,5005,5023,5036,5049,51071,51125,51143,51209,51316,51382,51411,51552,51646,51719,5175,51806,51816,5199,5211,5223,5236,5265,5269,527,5273,5284,5315,5317,5328,5329,5337,535,53831,53916,53917,54472,54509,5473,5476,5478,54918,55,55004,55276,55313,5547,5553,55754,5580,55832,55860,5594,5611,5645,5646,5657,566,5660,5663,567,56729,5683,5686,56888,5689,5695,56954,5701,5702,57020,5707,5708,5709,57126,5713,57153,5717,5718,5719,5724,5768,5777,57826,5787,5788,5795,5799,5806,5834,5836,58485,5864,5869,5870,5873,5878,5879,5906,5908,5912,6036,6037,6093,6278,6279,6280,6282,6283,6286,6317,634,6386,6402,64114,64333,64386,6515,6518,654364,6556,6590,6616,6709,671,6727,6793,683,6836,684,6947,6993,7077,7097,7130,7133,718,719,7226,7276,728,728358,7305,7414,7415,7520,7879,79169,79792,79888,79895,79930,79980,80142,80184,80301,80331,81567,81619,820,823,8288,83716,83858,84061,84329,84418,84443,84514,84658,847,84766,8514,8560,8566,8621,8635,8649,8655,8673,8694,8773,8778,8804,8826,8836,8876,8895,8904,8907,8972,89777,8987,8993,9145,9218,929,93100,932,9342,94103,945,948,9522,9535,9545,9588,960,961,963,965,966,967,968,9725,976,9761,978,9798,9861,9961"
R-HSA-156582,"10,9"
R-HSA-9753281,"10,10057,10257,1244,124975,1571,2678,2686,2687,27233,2944,2950,2952,4363,445329,54575,54578,54600,54658,55748,6783,6817,6818,6822,7366,8714,9,9429,95"
R-HSA-74217,"100,132,161823,1633,1716,270,271,272,2766,3251,353,4860,51292"
R-HSA-9734735,100
R-HSA-9755088,"100,132,2030,22978,3704,4830,4831,4860,55315,64078,654364,9153"
R-HSA-381426,"1000,10117,10130,102,10232,10272,10618,10970,11098,1114,11167,11320,116519,1356,1435,1462,1471,147111,1511,174,1758,197,213,2147,2153,2200,2243,2266,2335,2519,255738,258,26085,2621,265,2719,29106,2999,3053,3270,334,335,336,3371,338,3479,348,3481,3483,3484,3485,3486,3487,3488,3489,3490,3491,351,354,3569,3698,375056,3816,3817,3827,3895,3912,3913,3915,3956,401138,4052,4148,4221,4240,4241,4312,4313,462,4924,5034,5069,51156,51246,51280,5179,5265,5340,54587,54757,54972,5589,5611,5624,56955,56975,57104,5768,57719,5954,60676,6383,64856,652,6694,6696,7018,7076,718,7184,720,721,7425,7466,7857,80341,8074,813,8404,84141,8542,8614,8720,91851,9210"
R-HSA-418990,"1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1012,1013,1015,1016,1495,1499,1500,23705,253559,25945,283,3728,4301,4301,57863,5818,5819,60,60,64403,71,71,81607,999"
R-HSA-525793,"1000,1000,1002,1002,100271849,1013,1013,1432,1432,1495,1495,1496,1496,1499,1499,25,25,4205,4207,4208,4209,4617,4617,4618,4618,4654,4654,4656,4656,4756,4917,50937,50937,5600,5600,5608,6300,6300,663,663,6925,6925,6929,6929,6938,6938,9043,9043,91653,91653,998,998"
